tf_id,plant_date,area,trees,date,Shape_Leng,Shape_Area,UR8Class,UR8Name,UR8Desc,UR6Class,UR6Name,UR6Desc,UR3Class,UR3Name,UR3Desc,UR2Class,UR2Name,UR2Desc,lat,lon
89,19 February 2021,206,,2021-02-19,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.87525,-4.160222
132,21 October 2021,149,,2021-10-21,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.8599,-4.303606
133,22 October 2021,155,,2021-10-22,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.860518,-4.308922
134,18 October 2021,138,,2021-10-18,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.852919,-4.246042
135,19 October 2021,207,,2021-10-19,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.838286,-4.2892150000000004
136,03 December 2021,200,,2021-12-03,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.973627,-3.226764
137,02 December 2021,205,,2021-12-02,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.915614,-3.158599
153,14 October 2021,200,,2021-10-14,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.970752,-3.248136
154,09 January 2022,200,,2022-01-09,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.934302,-3.1123477
155,17 March 2022,200,,2022-03-17,2006056.35608,710252698.606,2,Other Urban Areas,"Settlements of 10,000 to 124,999 people",2,Other Urban Areas,"Settlements of 10,000 to 124,999 people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.853687,-3.565495
156,25 March 2022,200,,2022-03-25,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.83024,-4.259885
161,16 March 2022,100,,2022-03-16,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",57.131053,-2.1213439
244,24 February 2022,312,,2022-02-24,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.929884,-3.072584
268,21 March 2022,200,,2022-03-21,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.827101999999996,-4.2936087
269,26 March 2022,200,,2022-03-26,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",56.467864,-2.956614
270,23 March 2022,200,,2022-03-23,13463933.0052,16483735213.5,6,Accessible Rural Areas,"Areas with a population of less than 3,000 people, and within a 30 minute drive time of a settlement of 10,000 or more",5,Accessible Rural Areas,"Areas with a population of less than 3,000 people, and within a 30 minute drive time of a settlement of 10,000 or more",2,Accessible Rural Areas,"Areas of less than 3,000 people and within 30 minutes drive of a settlement of 10,000 or more",2,Rural Areas,"Areas of less than 3,000 people",55.90290775264437,-4.251175737308021
272,24 March 2022,200,,2022-03-24,1035970.46411,178360131.865,3,Accessible Small Towns,"Settlements of 3,000 and 9,999 people and within 30 minutes drive of a settlement of 10,000 or more",3,Accessible Small Towns,"Settlements of 3,000 to 9,999 people and within 30 minutes drive of a settlement of 10,000 or more",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.454743,-4.2808133
277,22 March 2022,200,,2022-03-22,13463933.0052,16483735213.5,6,Accessible Rural Areas,"Areas with a population of less than 3,000 people, and within a 30 minute drive time of a settlement of 10,000 or more",5,Accessible Rural Areas,"Areas with a population of less than 3,000 people, and within a 30 minute drive time of a settlement of 10,000 or more",2,Accessible Rural Areas,"Areas of less than 3,000 people and within 30 minutes drive of a settlement of 10,000 or more",2,Rural Areas,"Areas of less than 3,000 people",55.62021,-4.47898
278,15 March 2022,200,,2022-03-15,2006056.35608,710252698.606,2,Other Urban Areas,"Settlements of 10,000 to 124,999 people",2,Other Urban Areas,"Settlements of 10,000 to 124,999 people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.861022153603095,-3.6940404420645097
279,22 March 2022,200,,2022-03-22,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.920206,-3.2696146
280,23 March 2022,200,,2022-03-23,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.910308,-3.2288665
281,20 March 2022,200,,2022-03-20,13463933.0052,16483735213.5,6,Accessible Rural Areas,"Areas with a population of less than 3,000 people, and within a 30 minute drive time of a settlement of 10,000 or more",5,Accessible Rural Areas,"Areas with a population of less than 3,000 people, and within a 30 minute drive time of a settlement of 10,000 or more",2,Accessible Rural Areas,"Areas of less than 3,000 people and within 30 minutes drive of a settlement of 10,000 or more",2,Rural Areas,"Areas of less than 3,000 people",55.744693,-4.669491
282,27 March 2022,200,,2022-03-27,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",56.479028,-2.905574
349,02 March 2023,205,,2023-03-02,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.97935832,-3.22382907
374,16 March 2023,200,,2023-03-16,2006056.35608,710252698.606,2,Other Urban Areas,"Settlements of 10,000 to 124,999 people",2,Other Urban Areas,"Settlements of 10,000 to 124,999 people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.89811250760339,-3.609391110516
375,21 March 2023,200,,2023-03-21,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.895562036788526,-3.3139764179268703
376,29 March 2023,200,,2023-03-29,770892.104188,571455492.64,1,Large Urban Areas,"Settlements of 125,000 or more people",1,Large Urban Areas,"Settlements of 125,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",1,Rest of Scotland,"Settlements of 3,000 or more people",55.96773242591303,-3.1882771841667563
